year,month,homicides
2001,1,42
2001,2,27
2001,3,37
2001,4,59
2001,5,42
2001,6,69
2001,7,78
2001,8,58
2001,9,71
2001,10,71
2001,11,64
2001,12,49
2002,1,45
2002,2,32
2002,3,42
2002,4,43
2002,5,51
2002,6,66
2002,7,68
2002,8,77
2002,9,67
2002,10,57
2002,11,39
2002,12,70
2003,1,39
2003,2,31
2003,3,52
2003,4,57
2003,5,59
2003,6,52
2003,7,68
2003,8,48
2003,9,51
2003,10,53
2003,11,51
2003,12,43
2004,1,29
2004,2,36
2004,3,43
2004,4,30
2004,5,34
2004,6,46
2004,7,53
2004,8,53
2004,9,33
2004,10,34
2004,11,32
2004,12,31
2005,1,20
2005,2,24
2005,3,37
2005,4,36
2005,5,43
2005,6,50
2005,7,58
2005,8,53
2005,9,32
2005,10,41
2005,11,29
2005,12,30
2006,1,29
2006,2,17
2006,3,35
2006,4,37
2006,5,42
2006,6,45
2006,7,66
2006,8,32
2006,9,57
2006,10,41
2006,11,43
2006,12,33
2007,1,26
2007,2,22
2007,3,41
2007,4,36
2007,5,34
2007,6,47
2007,7,44
2007,8,47
2007,9,50
2007,10,38
2007,11,29
2007,12,34
2008,1,34
2008,2,20
2008,3,33
2008,4,47
2008,5,42
2008,6,52
2008,7,62
2008,8,48
2008,9,55
2008,10,50
2008,11,40
2008,12,30
2009,1,25
2009,2,26
2009,3,20
2009,4,40
2009,5,47
2009,6,45
2009,7,57
2009,8,48
2009,9,43
2009,10,37
2009,11,37
2009,12,36
2010,1,22
2010,2,22
2010,3,31
2010,4,46
2010,5,46
2010,6,49
2010,7,42
2010,8,57
2010,9,31
2010,10,36
2010,11,33
2010,12,23
2011,1,28
2011,2,24
2011,3,23
2011,4,30
2011,5,38
2011,6,45
2011,7,55
2011,8,36
2011,9,40
2011,10,44
2011,11,37
2011,12,38
2012,1,43
2012,2,28
2012,3,53
2012,4,41
2012,5,50
2012,6,49
2012,7,50
2012,8,56
2012,9,44
2012,10,37
2012,11,39
2012,12,25
2013,1,41
2013,2,14
2013,3,17
2013,4,25
2013,5,47
2013,6,45
2013,7,47
2013,8,51
2013,9,43
2013,10,33
2013,11,28
2013,12,38
2014,1,20
2014,2,21
2014,3,23
2014,4,37
2014,5,41
2014,6,37
2014,7,38
2014,8,48
2014,9,46
2014,10,37
2014,11,39
2014,12,39
2015,1,30
2015,2,20
2015,3,35
2015,4,36
2015,5,50
2015,6,49
2015,7,57
2015,8,55
2015,9,65
2015,10,32
2015,11,39
2015,12,34
2016,1,54
2016,2,47
2016,3,45
2016,4,40
2016,5,69
2016,6,80
2016,7,70
2016,8,96
2016,9,65
2016,10,83
2016,11,80
2016,12,59
2017,1,55
2017,2,50
2017,3,42
2017,4,49
2017,5,57
2017,6,87
2017,7,76
2017,8,58
2017,9,61
2017,10,60
2017,11,41
2017,12,39
2018,1,43
2018,2,43
2018,3,34
2018,4,43
2018,5,54
2018,6,57
2018,7,63
2018,8,58
2018,9,55
2018,10,59
2018,11,47
2018,12,44
2019,1,23
2019,2,25
2019,3,36
2019,4,60
2019,5,55
2019,6,52
2019,7,44
2019,8,51
2019,9,51
2019,10,40
2019,11,34
2019,12,34
2020,1,36
2020,2,38
2020,3,28
2020,4,62
2020,5,86
2020,6,94
2020,7,111
2020,8,67
2020,9,82
2020,10,68
2020,11,63
2020,12,54
